I0519 21:23:05.721411  1019 server.go:1295] Starting language server process with pid 1019
I0519 21:23:05.721874  1019 server.go:471] Language server will attempt to listen on host localhost
I0519 21:23:05.722681  1019 server.go:485] Language server listening on random port at 51334 for HTTPS (gRPC)
I0519 21:23:05.723011  1019 server.go:492] Language server listening on random port at 51335 for HTTP
W0519 21:23:05.852396  1019 launchmanager.go:68] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
E0519 21:23:05.857554  1019 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0519 21:23:05.858094  1019 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:23:05.858119  1019 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:23:05.858146  1019 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0519 21:23:05.858440  1019 server.go:2240] Auth succeeded, refreshing features and managers
E0519 21:23:05.858474  1019 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0519 21:23:05.858621  1019 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:23:05.858633  1019 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:23:05.858656  1019 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0519 21:23:05.858841  1019 server.go:2246] State refresh took 0ms
I0519 21:23:05.863232  1019 server.go:1904] initialized server successfully in 141.749708ms
I0519 21:23:05.863508  1019 auto_updater.go:207] Last check was less than 15 minutes ago, skipping update
I0519 21:23:05.863531  1019 common.go:103] Launching CLI mode
W0519 21:23:05.863636  1019 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:23:05.863660  1019 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:23:05.863674  1019 server.go:604] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0519 21:23:05.863688  1019 client.go:81] failed to set auth token
I0519 21:23:05.863771  1019 project.go:64] project: discovered project "/Users/guy/dev/android" (id=dac48734-6756-42e9-be9b-35a7b3df1a0e) via /Users/guy/dev/android/.antigravitycli
I0519 21:23:05.863783  1019 common.go:156] project: using project "/Users/guy/dev/android" (id=dac48734-6756-42e9-be9b-35a7b3df1a0e) at /Users/guy/.gemini/config/projects/dac48734-6756-42e9-be9b-35a7b3df1a0e.json
E0519 21:23:05.863799  1019 common.go:188] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0519 21:23:05.863812  1019 common.go:197] CLI app data directory: /Users/guy/.gemini/antigravity-cli
I0519 21:23:05.863825  1019 server.go:200] Creating CLI server backend: product=antigravity workspaceDirs=[] appDataDir=/Users/guy/.gemini/antigravity-cli cascadeManager=true codeAssist=true
I0519 21:23:05.863854  1019 manager.go:249] Initializing CLI store manager for workspace /Users/guy/dev/android
E0519 21:23:05.864186  1019 cli_setting_manager.go:350] failed to propagate telemetry setting: error getting token source: You are not logged into Antigravity.
I0519 21:23:05.864200  1019 cli_setting_manager.go:65] CLI settings initialized: permissions=<nil>, toolPermission=request-review
W0519 21:23:05.864237  1019 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:23:05.864248  1019 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:23:05.864255  1019 server.go:392] failed to get model config: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0519 21:23:05.864326  1019 manager.go:313] CLI store manager initialized successfully
