I0519 21:25:20.372557  1342 server.go:1295] Starting language server process with pid 1342
I0519 21:25:20.373019  1342 server.go:471] Language server will attempt to listen on host localhost
I0519 21:25:20.373696  1342 server.go:485] Language server listening on random port at 51395 for HTTPS (gRPC)
I0519 21:25:20.373913  1342 server.go:492] Language server listening on random port at 51396 for HTTP
W0519 21:25:20.508244  1342 launchmanager.go:68] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
E0519 21:25:20.512370  1342 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0519 21:25:20.512755  1342 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:25:20.512786  1342 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:25:20.512826  1342 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0519 21:25:20.513275  1342 server.go:2240] Auth succeeded, refreshing features and managers
E0519 21:25:20.513342  1342 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0519 21:25:20.513752  1342 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:25:20.513827  1342 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:25:20.513905  1342 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0519 21:25:20.514403  1342 server.go:2246] State refresh took 1ms
I0519 21:25:20.519437  1342 server.go:1904] initialized server successfully in 146.802292ms
I0519 21:25:20.519691  1342 auto_updater.go:207] Last check was less than 15 minutes ago, skipping update
I0519 21:25:20.519727  1342 common.go:103] Launching CLI mode
W0519 21:25:20.519862  1342 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:25:20.519884  1342 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:25:20.519897  1342 server.go:604] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0519 21:25:20.519911  1342 client.go:81] failed to set auth token
I0519 21:25:20.519955  1342 project.go:64] project: discovered project "/Users/guy/dev/android" (id=dac48734-6756-42e9-be9b-35a7b3df1a0e) via /Users/guy/dev/android/.antigravitycli
I0519 21:25:20.519967  1342 common.go:156] project: using project "/Users/guy/dev/android" (id=dac48734-6756-42e9-be9b-35a7b3df1a0e) at /Users/guy/.gemini/config/projects/dac48734-6756-42e9-be9b-35a7b3df1a0e.json
E0519 21:25:20.519981  1342 common.go:188] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0519 21:25:20.519995  1342 common.go:197] CLI app data directory: /Users/guy/.gemini/antigravity-cli
I0519 21:25:20.520005  1342 server.go:200] Creating CLI server backend: product=antigravity workspaceDirs=[] appDataDir=/Users/guy/.gemini/antigravity-cli cascadeManager=true codeAssist=true
I0519 21:25:20.520030  1342 manager.go:249] Initializing CLI store manager for workspace /Users/guy/dev/android
E0519 21:25:20.520366  1342 cli_setting_manager.go:350] failed to propagate telemetry setting: error getting token source: You are not logged into Antigravity.
I0519 21:25:20.520379  1342 cli_setting_manager.go:65] CLI settings initialized: permissions=<nil>, toolPermission=request-review
W0519 21:25:20.520430  1342 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:25:20.520440  1342 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:25:20.520446  1342 server.go:392] failed to get model config: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0519 21:25:20.520534  1342 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:25:20.520550  1342 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:25:20.520562  1342 server.go:604] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0519 21:25:20.520571  1342 client.go:81] failed to set auth token
I0519 21:25:20.520565  1342 manager.go:313] CLI store manager initialized successfully
I0519 21:25:20.520584  1342 common.go:312] CLI store manager created successfully
I0519 21:25:20.522349  1342 common.go:402] Starting CLI program
CLI ready for user input (startup took 2.608292ms)
ERROR: logging before google.Init: I0519 21:25:20.524146     162 terminal_info_manager.go:160] Terminal detection: TERM="xterm-256color" altScreen=true ssh=false
I0519 21:25:20.526485  1342 gemini_extensions.go:28] Detecting Gemini extensions in /Users/guy/.gemini/extensions
I0519 21:25:20.526699  1342 gemini_extensions.go:46] Found 1 extensions: [conductor]
I0519 21:25:20.599059  1342 manager.go:543] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0519 21:25:20.681556  1342 auth.go:114] ChainedAuth: authenticated via keyring (effective: keyring)
I0519 21:25:21.293237  1342 http_helpers.go:178] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x2b5c7a7b74d204e4
I0519 21:25:21.603380  1342 http_helpers.go:178] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x8490bb598b8ce109
I0519 21:25:21.606595  1342 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (High)"
I0519 21:25:21.606726  1342 input_loop.go:493] Auth done received, triggering experiment refresh
I0519 21:25:21.606846  1342 experiment_manager.go:35] Starting experiment refresh after login
I0519 21:25:21.607021  1342 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (High)"
I0519 21:25:21.607101  1342 input_loop.go:493] Auth done received, triggering experiment refresh
I0519 21:25:21.607126  1342 experiment_manager.go:35] Starting experiment refresh after login
I0519 21:25:21.684963  1342 manager.go:543] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0519 21:25:21.691060  1342 experiment_manager.go:39] Experiments refreshed after login
I0519 21:25:21.691152  1342 manager.go:932] Reloading system slash commands
I0519 21:25:21.696474  1342 experiment_manager.go:39] Experiments refreshed after login
I0519 21:25:21.696545  1342 manager.go:932] Reloading system slash commands
I0519 21:25:21.701281  1342 manager.go:936] Slash commands unchanged, skipping update
I0519 21:25:22.367506  1342 manager.go:543] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0519 21:25:30.421627  1342 manager.go:543] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0519 21:25:31.924321  1342 common.go:407] CLI program exited, shutting down
I0519 21:25:31.924579  1342 manager.go:451] CLI store manager shutting down
I0519 21:25:31.925262  1342 server.go:2152] Language server shutting down
